OPDIV,FAIN,"Obligation Document
Numbers",Recipient Name,Recipient State,Country,"Action Date (Date
Terminated)",Total Amount Obligated,Total Amount Expended,"Total Payment Amount (As
of Termination)","Unliquidated Obligations
(As of Termination)",Award Title,Presidential Action,"For Cause (Put
X if applicable)",page
ACF,90ZU0483,90ZU048301,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0483,90ZU048302,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0483,90ZU048303,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0486,90ZU048601,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0486,90ZU048602,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0486,90ZU048603,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0487,90ZU048701,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0487,90ZU048702,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0487,90ZU048703,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
ACF,90ZU0569,90ZU056901,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (LONG TERM FOSTER CARE)
SERVICES FOR UNACCOMPANIED CHILDREN",Termination for Cause,X,3
ACF,90ZU0569,90ZU056902,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (LONG TERM FOSTER CARE)
SERVICES FOR UNACCOMPANIED CHILDREN",Termination for Cause,X,3
ACF,90ZU0623,90ZU062301,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"HOME STUDY AND POST-RELEASE SERVICES
FOR UNACCOMPANIED CHILDREN",Termination for Cause,X,3
ACF,90ZU0623,90ZU062302,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"HOME STUDY AND POST-RELEASE SERVICES
FOR UNACCOMPANIED CHILDREN",Termination for Cause,X,3
CDC,NH23IP922574,19NH23IP922574C3,"PUBLIC HEALTH AND
HUMAN SERVICES,
MONTANA DEPARTMENT OF",MONTANA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,3
CDC,NH23IP922574,20NH23IP922574C3,"PUBLIC HEALTH AND
HUMAN SERVICES,
MONTANA DEPARTMENT OF",MONTANA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,3
CDC,NH23IP922574,20NH23IP922574C5,"PUBLIC HEALTH AND
HUMAN SERVICES,
MONTANA DEPARTMENT OF",MONTANA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,3
CDC,NH23IP922574,20NH23IP922574C6,"PUBLIC HEALTH AND
HUMAN SERVICES,
MONTANA DEPARTMENT OF",MONTANA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,3
CDC,NH23IP922574,20NH23IP922574IISC6,"PUBLIC HEALTH AND
HUMAN SERVICES,
MONTANA DEPARTMENT OF",MONTANA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,3
CDC,NH23IP922574,"20NH23IP922574UDS
PC5","PUBLIC HEALTH AND
HUMAN SERVICES,
MONTANA DEPARTMENT OF",MONTANA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922575,20NH23IP922575C3,"OK ST DEPARTMENT OF
HEALTH",OKLAHOMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922575,20NH23IP922575C5,"OK ST DEPARTMENT OF
HEALTH",OKLAHOMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922575,20NH23IP922575C6,"OK ST DEPARTMENT OF
HEALTH",OKLAHOMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922575,20NH23IP922575IISC6,"OK ST DEPARTMENT OF
HEALTH",OKLAHOMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922575,"20NH23IP922575UDS
PC5","OK ST DEPARTMENT OF
HEALTH",OKLAHOMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922576,20NH23IP922576C6,"REPUBLIC OF PALAU,
BUREAU OF HEALTH
SEVICES",PALAU,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922576,"20NH23IP922576UDS
PC5","REPUBLIC OF PALAU,
BUREAU OF HEALTH
SEVICES",PALAU,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922577,20NH23IP922577C3,"WY ST DEPARTMENT OF
HEALTH",WYOMING,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922577,20NH23IP922577C5,"WY ST DEPARTMENT OF
HEALTH",WYOMING,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922577,20NH23IP922577C6,"WY ST DEPARTMENT OF
HEALTH",WYOMING,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922577,"20NH23IP922577UDS
PC5","WY ST DEPARTMENT OF
HEALTH",WYOMING,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922578,19NH23IP922578C3,"STATE OF GEORGIA
DEPARTMENT OF PUBLIC
HEALTH",GEORGIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922578,20NH23IP922578C3,"STATE OF GEORGIA
DEPARTMENT OF PUBLIC
HEALTH",GEORGIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922578,20NH23IP922578C5,"STATE OF GEORGIA
DEPARTMENT OF PUBLIC
HEALTH",GEORGIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922578,20NH23IP922578C6,"STATE OF GEORGIA
DEPARTMENT OF PUBLIC
HEALTH",GEORGIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922578,20NH23IP922578IISC6,"STATE OF GEORGIA
DEPARTMENT OF PUBLIC
HEALTH",GEORGIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922578,"20NH23IP922578UDS
PC5","STATE OF GEORGIA
DEPARTMENT OF PUBLIC
HEALTH",GEORGIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922579,19NH23IP922579C3,"ARKANSAS DEPARTMENT
OF HEALTH",ARKANSAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922579,20NH23IP922579C3,"ARKANSAS DEPARTMENT
OF HEALTH",ARKANSAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922579,20NH23IP922579C5,"ARKANSAS DEPARTMENT
OF HEALTH",ARKANSAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922579,20NH23IP922579C6,"ARKANSAS DEPARTMENT
OF HEALTH",ARKANSAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922579,20NH23IP922579IISC6,"ARKANSAS DEPARTMENT
OF HEALTH",ARKANSAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922579,"20NH23IP922579UDS
PC5","ARKANSAS DEPARTMENT
OF HEALTH",ARKANSAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922580,20NH23IP922580C3,"UTAH DEPARTMENT OF
HEALTH AND HUMAN
SERVICES",UTAH,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922580,20NH23IP922580C5,"UTAH DEPARTMENT OF
HEALTH AND HUMAN
SERVICES",UTAH,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,4
CDC,NH23IP922580,20NH23IP922580C6,"UTAH DEPARTMENT OF
HEALTH AND HUMAN
SERVICES",UTAH,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922580,20NH23IP922580IISC6,"UTAH DEPARTMENT OF
HEALTH AND HUMAN
SERVICES",UTAH,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922580,"20NH23IP922580UDS
PC5","UTAH DEPARTMENT OF
HEALTH AND HUMAN
SERVICES",UTAH,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922581,19NH23IP922581C3,"SD ST DEPARTMENT OF
HEALTH",SOUTH DAKOTA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922581,20NH23IP922581C5,"SD ST DEPARTMENT OF
HEALTH",SOUTH DAKOTA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922581,20NH23IP922581C6,"SD ST DEPARTMENT OF
HEALTH",SOUTH DAKOTA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922581,"20NH23IP922581UDS
PC5","SD ST DEPARTMENT OF
HEALTH",SOUTH DAKOTA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922582,20NH23IP922582C5,"AL ST DEPARTMENT OF
PUBLIC HEALTH",ALABAMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922582,20NH23IP922582C6,"AL ST DEPARTMENT OF
PUBLIC HEALTH",ALABAMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922582,"20NH23IP922582UDS
PC5","AL ST DEPARTMENT OF
PUBLIC HEALTH",ALABAMA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922584,20NH23IP922584C3,"SAN ANTONIO
METROPOLITAN HEALTH
DISTRICT",TEXAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922584,20NH23IP922584C5,"SAN ANTONIO
METROPOLITAN HEALTH
DISTRICT",TEXAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922584,20NH23IP922584C6,"SAN ANTONIO
METROPOLITAN HEALTH
DISTRICT",TEXAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922584,"20NH23IP922584UDS
PC5","SAN ANTONIO
METROPOLITAN HEALTH
DISTRICT",TEXAS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922585,20NH23IP922585C5,VI DEPARTMENT OF HEALTH,VIRGIN ISLANDS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922585,20NH23IP922585C6,VI DEPARTMENT OF HEALTH,VIRGIN ISLANDS,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922586,20NH23IP922586C5,"WEST VIRGINIA STATE
HEALTH DEPARTMENT",WEST VIRGINIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922586,20NH23IP922586C6,"WEST VIRGINIA STATE
HEALTH DEPARTMENT",WEST VIRGINIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922586,20NH23IP922586IISC6,"WEST VIRGINIA STATE
HEALTH DEPARTMENT",WEST VIRGINIA,UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922587,20NH23IP922587C3,"COMMONWEALTH OF THE
NORTHERN MARIANA
ISLANDS","NORTHERN MARIANA
ISLANDS",UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
CDC,NH23IP922587,20NH23IP922587C5,"COMMONWEALTH OF THE
NORTHERN MARIANA
ISLANDS","NORTHERN MARIANA
ISLANDS",UNITED STATES,3/24/2025,-,-,-,-,Immunization and Vaccines for Children,Departmental Authority,-,5
